,industry,title,company,logo,raw description
0,Transportation/Trucking/Railroad,College Intern - Graphic Designer for Employee Programs,Orange County Transportation Authority,https://media.licdn.com/dms/image/C4D0BAQHRqSxAYSQ2Xg/company-logo_100_100/0/1519856278349?e=2147483647&v=beta&t=ZaNM0yV3iAWmhdK8C2i1F56Ev_KcygYgtAhDgLSfgZU,"Job Description Overview

OCTA's College Intern Program is a year-round paid student/intern program. You will gain real world work experience on meaningful projects under the guidance of a transportation professional. You will have the opportunity to use problem solving, communication and decision-making skills as you gain valuable work experience. You will also work with a mentor and benefit from career counseling.

As a College Intern, you will be exposed to OCTA's career opportunities in the transportation industry. You will gain deeper awareness of transportation's many facets through your OCTA orientation, projects and teams, and internal networking.

Under direct supervision, you will perform a variety of professional entry-level duties related to your major field of study and the sponsoring department's current business operations.

The pay range is from $18.00 - $21.00 per hour depending on your education level. This position is not eligible for employee benefits. The work schedule will consist of approximately 20 hours a week, not to exceed 1,000 hours within a continuous 12 month period.

Eligibility list may be established up to 6 months from the posting date.

This posting will remain open until filled.

Responsibilities

This list is intended to indicate the general nature and level of work performed by employees within this classification and is not designed to be interpreted as an exhaustive listing of all tasks required of employees assigned to this job.

Design flyers, digital signage, and other alternative marketing materials as needed for internal communication.
Promote and participate in employee events, activities, and fundraising.
Send out and/or publish internal communications via flyers, email, intranet, and digital signage.

Qualifications

Currently a full-time college student enrolled in a two-year or four-year college program and following a course of study leading to a Bachelor's or Master's degree, with emphasis in Graphic Design, Communications or Marketing.
Must be a full-time student maintaining a 2.5 GPA.
Intern must conduct themselves in a professional manner.

Knowledge Of

High level of proficiency in graphic design and computer skills including Adobe Suite products: Illustrator, InDesign and PhotoShop.
M icrosoft Office Suit (Work, Excel, Outlook and PowerPoint)

Ability To

Display exceptional communication skills, including writing and proofreading.
Design flyers, digital signage and other communication pieces.
Provide excellent customer service to our internal clients.
Be independent and self-motivated with excellent organizational skills.

Working Conditions/ Physical Activities

(The physical demands described are representative of those that must be met by the employee to successfully perform the essential functions of this job. OCTA provides reasonable accommodation to enable individuals with disabilities to perform the essential functions).

Positions In This Class Typically Require

Work may be performed in a stressful, fast-paced office environment, depending upon assignment.
Requires ability to understand verbal communication and to respond effectively.
Positions in this class typically require: Reaching, Finger Dexterity, Grasping, Feeling, Talking, Hearing, Seeing, and Repetitive Motions in computer use.

Disclaimer

The above statements are intended to indicate the general nature and level of work performed by employees within this classification. They are not designed to contain or be interpreted as an exhaustive list of all duties, responsibilities, skills and qualifications required of employees assigned to this job.

OCTA is an equal opportunity employer and will not tolerate discrimination in employment on the basis of race, color, age, sex, sexual orientation, gender identity, religion, disability, ethnicity, national origin, marital status, status as a protected veteran, genetic information, or any other legally protected classification or status."
1,"Software Development, Consumer Services, and Entertainment Providers",Sound Design Intern,Sony Interactive Entertainment,https://media.licdn.com/dms/image/C4D0BAQFJO00VqEb3Vg/company-logo_100_100/0/1616449168003?e=2147483647&v=beta&t=eMDrK1LSccr76wMZZvPXF4f-Uggu72zy9LU3nQND4FY,"Why PlayStation?

PlayStation isn’t just the Best Place to Play — it’s also the Best Place to Work. Today, we’re recognized as a global leader in entertainment producing The PlayStation family of products and services including PlayStation®5, PlayStation®4, PlayStation®VR, PlayStation®Plus, acclaimed PlayStation software titles from PlayStation Studios, and more.

PlayStation also strives to create an inclusive environment that empowers employees and embraces diversity. We welcome and encourage everyone who has a passion and curiosity for innovation, technology, and play to explore our open positions and join our growing global team.

The PlayStation brand falls under Sony Interactive Entertainment, a wholly-owned subsidiary of Sony Corporation.

Location: Los Angeles, CA or Remote

Santa Monica Studio is seeking a Sound Design Intern to join our team for our Summer 2024 Internship Program!

Established in 1999, Santa Monica Studio became renowned for excellence in the action/adventure genre with the worldwide award-winning success of the 2005 release, God of War, and its subsequent sequels. God of War (2018) became one of the fastest selling PlayStation 1st-party games of all-time and has since won over 190 Game of the Year awards including DICE, BAFTA, The Game Awards, Game Developers Choice Awards, IGN, Game Informer, EW, and Variety. Our most recent title, God of War: Ragnarök (2022), has since continued this run of commercial and critical success.

Responsibilities:

Support audio needs for game design, cinematics, marketing materials, etc.
Work within the set standard for all sound asset implementation (environmental, character and music) within the production path, as it relates to design, art and otherwise
Collaborate creatively on sound implementation to enhance the gameplay experience
Work with sound designers, artists, programmers, technical sound designers and other teams to accomplish audio consistency and quality
Consistently evaluate the audio for the design assets being created for all of the levels and characters you are responsible for
Address all issues and assist with fixing audio related problems within levels or characters you are responsible for as they arise

Qualifications:

Currently enrolled in an accredited institution, pursuing a Bachelor’s or Advanced degree majoring in a related field
Projected to graduate between December 2023 – June 2025
Passion for game audio and the drive to implement top-rated game sound
Basic experience working in a game editor and with structural data-driven scripting for level and character design
Ability to quickly become proficient with proprietary game engine tools and production processes
Working knowledge of game engine and design tools, especially as they relate to sound
Ability to think logically with a high level of attention to detail
Must be available to work for 12 weeks from May – August or June – September
Internships are available to students who are US citizens or international students with an F-1 visa

Our intern positions offer a fixed hourly pay rate. Please note that the pay rate is exclusive to the internship period and may not reflect what pay may look like following the completion of an internship.

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

The estimated base pay range for this role is listed below.

$33.25 — $45.75 USD

Please refer to our Candidate Privacy Notice for more information about how we process your personal information, and your data protection rights.

At SIE, we consider several factors when setting each role’s base pay range, including the competitive benchmarking data for the market and geographic location.

Please note that the base pay range may vary in line with our hybrid working policy and individual base pay will be determined based on job-related factors which may include knowledge, skills, experience, and location.

In addition, this role is eligible for SIE’s top-tier benefits package that includes medical, dental, vision, matching 401(k), paid time off, wellness program and coveted employee discounts for Sony products. This role also may be eligible for a bonus package. Click here to learn more.

This is a flexible role that can be remote, with varying pay ranges based on geographic location. For example, if you are based out of Seattle, the estimated base pay range for this role is listed below.

$33.25 — $45.75 USD

Equal Opportunity Statement:

Sony is an Equal Opportunity Employer. All persons will receive consideration for employment without regard to gender (including gender identity, gender expression and gender reassignment), race (including colour, nationality, ethnic or national origin), religion or belief, marital or civil partnership status, disability, age, sexual orientation, pregnancy or maternity, trade union membership or membership in any other legally protected category.

We strive to create an inclusive environment, empower employees and embrace diversity. We encourage everyone to respond.

PlayStation is a Fair Chance employer and qualified applicants with arrest and conviction records will be considered for employment."
2,Construction,Internship,"J.A. Watts, Inc.",https://media.licdn.com/dms/image/C4D0BAQG1IM2qFmXrjQ/company-logo_100_100/0/1578422838152/j_a_watts_inc__logo?e=2147483647&v=beta&t=OEZpsRNeLyj2V0gGsNn0xjkXU6y-aEDZVDpUZJc3Ydc,"Job Type

Internship

Description

J. A. Watts, Inc. (JWI) is a woman-owned professional services firm that believes in treating its clients and employees like family at every level of our company. Our family culture is what we’re known for, and we work to stay true to who we are. That’s how we manage our projects and how we recruit THE Best People in our industry. Our clients come from all walks of life, and so do we, which makes us stronger together.

Our paid summer internship program provides a real, hands-on experience of working at J.A. Watts. You will have the opportunity to gain experience on projects, learn from peers, and receive ongoing professional development and contribute to the Aviation industry. Our program provides a challenging, real-world experience by assisting on all aspects of the assigned projects(s), including but not limited to design, planning, inspection, meeting setup, construction, and working with clients. Each intern is paired with a mentor, who will provide training, answer questions, and be a resource throughout the entire internship.

Duties And Responsibilities
Support project objectives, policies, procedures, and performance standards within boundaries of company policy
Contribute to and collaborate with team members on assigned project deliverables, designs, and additional project tasks
Assist with project documents, plans, and proposals
Support team members at project sites as needed
Provide feedback on process and system improvement
Ask questions and learn as much as possible during intern assignments
Perform other duties as required/directed
Program Benefits
Make an impact on actual business projects
Get training and career coaching from mentor and teammates
Tour project site(s)
Shadow current full-time employees
Appreciation event
Internship presentation to staff
Professional development
Requirements
Enrolled in an accredited bachelor's program studying construction management, architecture, engineering, or other related fields
Strong administrative and organizational skills
Excellent interpersonal skills, including oral and written communication skills
Excellent analytical and problem-solving skills
Ability to balance multiple priorities, work and communicate effectively in a team environment and meet deadlines
Proficient in MS Office suite
Experience with project management software, AutoCAD, or MicroStation is preferred
Previous internship experience is preferred
Role may require current driver’s license and ability to drive to project sites
Role may require a successful background check for airport badging purposes
Equal Opportunity Employer Veterans/Disabled

An Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, or protected veteran status and will not be discriminated against on the basis of disability.

Salary Description

$18-$22.50 / hour"
3,Environmental Services,Marketing Intern,Sealaska,https://media.licdn.com/dms/image/C560BAQGF66phvqCKOg/company-logo_100_100/0/1624341387440/sealaska_corporation_logo?e=2147483647&v=beta&t=wbn_7vvX7x5B__GrYbW9dwAjOfJr47nEQU_Ykftett4,"Job Title: Marketing Intern

Location: Juneau, AK

Job Summary

Barnacle Foods is searching for a Marketing Intern who has an interest in storytelling and sustainable business. Based in Juneau, AK, Barnacle Foods highlights locally grown, harvested, and foraged ingredients, like kelp, in their products and makes it their priority to have the least impact on the environment as possible.

As an intern at Barnacle Foods, you would support general business activities with a special focus on communications and marketing. Projects will include digital content creation and scheduling, and developing stories around the foods in Southeast Alaska, including developing recipes.

This internship takes place at the Barnacle office in Juneau, AK, with the opportunity to go on local harvesting trips.

All team members at Barnacle Foods will work on the production floor when extra support is needed.

Duties/Responsibilities

Gain hands-on experience for a small business that sells and markets unique Alaska products.
Learn Barnacle Foods brand, tone, and vision in order to implement marketing and promote Barnacle’s story.
Edit or rewrite existing copy as necessary and submit copy for approval by supervisor.
Organize digital multimedia on cloud-based systems.
Compiling PR contacts
Identify opportunities for collaborations with other brands and regional partners
Perform other duties as assigned.

Required Skills/Abilities

Experience with social media platforms (Instagram, TikTok, LinkedIn, Twitter)
Course work in marketing and communications
Organization skills and self-motivated
Able to both collaborate with a team and work independently
Ability to meet deadlines
Strong written and verbal communication skills
Must be a Sealaska shareholder, descendant of a shareholder, or spouse of a shareholder
Legally authorized to work in the United States
Ability to travel as needed

Education And Experience

Must be age 18 at time of hire
Must be currently enrolled in post-secondary school/program or a recent graduate (1-2 years)
Legally authorized to work in the United States

Preferred

Experience with illustrator, InDesign, or other Adobe Suite programs
At least a 2.5 GPA
Strong critical thinking and research skills
Self-starter with ability to adapt to a fast-paced work environment

Application Process

Complete online application at Sealaska.com/careers by January 22, 2024.
Submit a resume and recent transcript (unofficial) with online application.
Submit examples of graphic design work, social media work, or creative copy writing with online application.
You may be asked to provide proof of your status as a Sealaska shareholder, shareholder descendant, or shareholder spouse.
You must successfully complete a background check prior to onboarding at Sealaska.

About Sealaska Intern Program

The Sealaska intern program exists to uplift Sealaska shareholders and their descendants pursuing post-secondary education with meaningful career experience, learning opportunities, and a supportive community. Interns explore career interests, grow professional skills, and connect with the unique and vibrant cultures of the Tlingit, Haida, and Tsimshian people. You will spend the summer with peers who share an Alaska Native heritage, learning from each other and building a community as you venture into your careers. Learn more at sealaska.com/careers/summer-internships .

Working Conditions And Physical Demands

The physical and work environment characteristics described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Physical Demands

Must be able to perform computer-based tasks and processing for up to 8 hours, including sitting or standing, mousing, interacting with information on a computer monitor.
Must be able to lift and carry or otherwise move 25 pounds regularly.
Specific vision abilities required by the job include close vision, distance vision, color vision, peripheral vision, depth perception, and the ability to adjust focus.
Bending or standing as necessary.

Work Environment

While performing the duties of this job, the employee will primarily work in an office setting. The noise level in the work environment is usually minimal.

This description is not intended to be, nor should it be construed as an all-inclusive list of responsibilities, skills or working conditions associated with the position. It is intended to accurately reflect the activities and requirements of the position, but duties may be added, deleted, or modified, as necessary. This description does not constitute a written or implied contract of employment.

Who is Sealaska? Established in 1972, Sealaska is the Alaska Native regional corporation for Southeast Alaska. Our 23,000 shareholders are Tlingit, Haida and Tsimshian people with more than 10,000 years of ancestral ties to the oceans, forests and communities of Southeast Alaska. We serve the twin goals of economic prosperity and environmental protection.

We are committed to providing the best possible climate for maximum development and goal achievement for all our employees. As a Native-owned company, Sealaska Corporation is proud to promote an inclusive and diverse workplace, with respect for the cultural traditions in the communities where we operate.

Sealaska Corporation is an equal opportunity employer. All applicants are considered without regard to age, sex, race, national origin, religion, marital status or physical disability. However, preference may be extended to an enrolled member of a federally-recognized Indian Tribe*

“Indian Tribe” means an Indian Tribe, band, nation, or other organized group or community, including any Alaska Native village or regional or village corporation as defined in or established pursuant to the Alaska Native Claims Settlement Act (85 Stat. 668; 43 U.S.C. 1601) which is recognized as eligible for the special programs and services provided by the United States to Indians because of their status as Indians.

Apply Now"
4,"Technology, Information and Internet",Creative Intern – Design and Content,MATTE Projects,https://media.licdn.com/dms/image/D4E0BAQGmyYR5A2lFwg/company-logo_100_100/0/1694551569976/matte_projects_logo?e=2147483647&v=beta&t=ASQbAfKWVmmzStO0EJY6daTWWLSg4etewWMN6l8ZeaM,"CREATIVE INTERN- DESIGN AND CONTENT, NY

DESCRIPTION:

The Design intern is responsible for supporting our design team in their pursuit to produce work that is dynamic, thought-provoking and unique for both digital and print. Duties and learnings include:

Execute engaging designs and artwork that are aligned with overall design direction.
Brainstorm unique layout solutions.
Prepare final files for print and digital production
Layout content calendar for social media platforms
Provide overall day-to-day support to the creative team
Research and source images and references
Assist occasions of film + photography content capture
Be a student of the industry: keep up with research and development on the latest trends and emerging platform

REQUIREMENTS:

Must be enrolled in a University or Master's program and local to the NYC area
Must be a graphic design, or related title, major. Creative Advertising, Media Studies, and Film Studies also accepted design-oriented work samples.
Must be proficient in Adobe Creative Suite (Photoshop, Illustrator. Adobe Premiere + After Effects a plus).
Knowledge of Figma is a plus
Skilled in design, typography, and branding
Interest in commercial film, video advertising, and social media content creation
Time management ability, capacity to receive multiple assignments at once.

Everyone is welcome at MATTE - we're passionate about building a team that reflects the diversity of our community and creating an environment where our differences are celebrated. MATTE provides equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, pregnancy, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, MATTE will provide reasonable accommodations for qualified individuals with disabilities."
5,Construction,Mechanical Design Intern,Harris,https://media.licdn.com/dms/image/C560BAQGsa8GyoLdVZQ/company-logo_100_100/0/1565379936250/harriscompany_logo?e=2147483647&v=beta&t=AK9Pg3zOE-D0XyI35mXvxg5BBCFavBek956Zo6-Oxsw,"Note: This internship is for Summer 2023

Your role as a Mechanical Design Intern

As a Mechanical Design Intern, you will apply knowledge gained through formal education to a professional work environment including applying conceptual engineering techniques to design various types of mechanical systems. Assist with envisioning, designing, and delivering innovative design solutions that meet customer needs and increase efficiency and cost effectiveness in construction and operation.

Gain on the job experience and knowledge of the Mechanical/HVAC/Plumbing design process
Get a realistic job preview and explore other career opportunities within the Design + Engineering team
Get exposure to other departments and learn how your role impacts the business as a whole
Translate concepts learned in the classroom to real world experiences

What We're Looking For In You

Must be a current student working toward degree in mechanical engineering, architectural engineering, energy engineering, or related field.
Basic understanding of approaches and options for implementing low energy, high performance, resilient and sustainable design for mechanical systems
Proven math, accuracy and detail-orientation skills
Strong verbal and written communication skills
Demonstrated critical thinking, problem solving, and ability to identify problems

Your life at Harris

As one of the country's leading mechanical contractors, Harris offers you the best of both worlds: the stability, resources and opportunities of a national company, and the team culture, creative spirit and customer loyalty of a local business. If you thrive on variety and new challenges, we want to meet you!

From stadiums to manufacturing facilities, power plants to hospitals, concert halls to classrooms, we handle projects of all sizes and complexity from multiple regional locations across the country.

What Our Interns Are Saying

""I've developed more skills and knowledge than I can explain, and the life skills I'll take away from this experience are far greater than anything I could've imagined. Not only will I have transferable skills and knowledge to take with me, but also a network of individuals who truly care and want me to succeed."" -Former Harris intern

Growth Opportunities

Check out our growth opportunities with our Design + Engineering career path options: (https://www.harriscompany.com/careers/harris-career-path-options)

Compensation

Pay Range: $18.09 - $33.92 per hour

The actual salary offer will vary by candidate based on a wide range of factors such as specific skills, qualifications, experience, and location."
6,Wholesale Building Materials,Design Internship,Oatey Company,https://media.licdn.com/dms/image/C4E0BAQHEvE_EKTD8tA/company-logo_100_100/0/1565295894586/oatey_company_logo?e=2147483647&v=beta&t=0Uk2Ot0mh8fePyO0911skBsKmeh07HmfiDTyIkmS8R8,"2024 Oatey Summer Internship Program – The Oatey Intern Experience

Interested in an internship with challenging projects, high visibility, professional networking, development, and fun?

Oatey is currently seeking college students for the summer of 2024 to join our award-winning program: The Oatey Intern Experience. Oatey offers a 12-week summer internship that will expose you to meaningful work and exceed your expectations. You will be a part of a diverse, collaborative team environment yet experience your own personal and individual growth. Our interns deliver excellence through high engagement and performance, which is why we often hire them post-graduation*.
Based on outstanding performance and organizational needs

What We're Looking For…

The Oatey Intern Experience supports our growing organization by attracting talented students to develop them into future leaders. It is unique with one-on-one mentorship, developmental feedback and coaching, lunch series, engaging networking events and weekly forums. You will work closely with experts to develop your skills and gain valuable insight in your chosen career field. Additionally, you will have exposure to all leadership levels of Oatey. Lastly, you will have a great time networking with other interns and forge lasting relationships.

Oatey offers a vigorous program that includes:

Learning and Development
Peer Mentoring
Challenging Team Projects
Community Involvement

Summary

Design Internship Position Summary

As a Design Intern, you will work closely with our creative services and marketing teams to create user-focused, visually appealing, and compelling graphics that support our company initiatives. You will have the chance to collaborate on a wide range of projects, from product packaging and internal graphics to print materials and digital content.

Expectations & Accountabilities…
Collaborate with the marketing team to understand project requirements and objectives.
Create eye-catching and engaging graphics for various marketing channels, including print, web, 3D, and branding.
Assist in designing marketing materials, such as brochures, flyers, logos, product graphics, digital graphics, displays, and product packaging.
Help maintain and update the company's visual identity and branding guidelines.
Participate in brainstorming sessions to contribute creative ideas and concepts.
Edit and retouch images to ensure they meet quality standards.
Keep up-to-date with industry trends and design best practices.
Support the team in other design-related tasks as needed.

What You’ll Need To Be Successful…
Currently pursuing a degree in Graphic Design, Visual Communications, or a related field.
Proficiency in graphic design software, such as Adobe Creative Suite (Photoshop, Illustrator, InDesign).
Strong creative and artistic skills, with a keen eye for detail and aesthetics.
Ability to manage multiple projects and meet deadlines in a fast-paced environment.

Qualifications That Will Set You Apart…
A portfolio of previous design work is highly encouraged.
Excellent communication and teamwork skills.
At Oatey we are committed to help our Associates grow their career. Apply today and grow with Oatey!"
7,Architecture and Planning,Interior Design Student Intern,Kahler Slater,https://media.licdn.com/dms/image/C560BAQE0LhlhRsJl9w/company-logo_100_100/0/1519856988132?e=2147483647&v=beta&t=V3lbKfhsZcBpKA7GDkotNwYpFdktC16aUsBVDFuYMHo,"Interior Design Student Intern – Healthcare

This is a 12-15 hour per week in-person internship in our Madison Office for the Spring 2024 semester for a current Interior Design or Interior Architecture student.

Kahler Slater is seeking an Interior Design Student Intern to join our growing team! Successful candidates are design forward, technically savvy, problem solvers, and passion players.

As Kahler Slater’s Interior Design Student Intern you will observe and learn about the professional practice of interior design through your assistance on healthcare related project work with our interior designers, architects, and project specialists.

Responsibilities

Typical Responsibilities of an Interior Design Student Intern – Healthcare:

3D rendering production work
Drafting and modeling tasks in Revit
Research finishes and furniture
Project specific assistance, (e.g., ordering sample materials, preparing virtual finish boards, documentation booklets)
Meet with product reps for new product updates
Manage interiors finish library


Knowledge, skills, and abilities to be our Interior Design Student Intern – Healthcare:

Current student in a Bachelor of Science Interior Design/Interior Architecture OR an Interior Design Associate program
Completion of at least two semesters of interiors coursework.
Experience in a design firm setting preferred
Successful team-orientation and collaboration behaviors
Strong communication skills, spoken, written, and graphic
Experience using Revit and Adobe Creative Suite required, Enscape preferred


Working Relationships and Scope of a Interior Design Student Intern – Healthcare:

Reports to a project or team leader
Collaborates with project team
Works under the mentorship and supervision of team members
Represents the firm in alignment with Kahler Slater’s core values


Working Conditions Of a Interior Design Student Intern – Healthcare

Work is performed in a professional, creative, open office environment with business casual attire. Hours of work will generally be during regular business hours and will average 10-15 hours per week, depending upon the intern’s availability. Interns should plan on working at least two consecutive days each week with a minimum of 4 hours each day.

Include a cover letter, resume, and portfolio when you apply.

Kahler Slater is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, veteran or disability status.

Kahler Slater is an E-verify employer."
8,Software Development,Industrial Design Intern,Altair,https://media.licdn.com/dms/image/C4E0BAQEX0LIP5oahnQ/company-logo_100_100/0/1587994967762/altair_engineering_logo?e=2147483647&v=beta&t=4WygnDQjfRGnaGopOqTcKTxCBj95c0C1UV_5YQo0Hes,"Transforming the Future with the Convergence of Simulation and Data

Industrial Design Intern

Job Summary

Support the Altair Industrial Design team in the development of client and internal. This individual will assist with research, sketching, idea generation, model building, rendering and CAD development. They will work alongside a multi-disciplinary team to execute projects and gain real world experience. They will also work along side out engineering team to develop projects for clients. You will have access to award winning designers with years of real world experience to jump start your Industrial Design Career.

What You Will Do
Support the industrial design team with all aspects of design.

Basics

What You Will Need:
Good Communication Skills
Exceptional CAD Skills
Ability to transform user insights into successful product concepts

Preferred
Excellent 2d and 3d visual communication skills
Experience with 3D modeling (3D printing and hands on)

How You Will Be Successful
Envision the Future
Communicate Honestly and Broadly
Seek Technology and Business “Firsts”
Embrace Diversity and Take Risks

What We Offer
Paid Holidays
Competitive Salary
Outstanding Work/Life Balance
Collaborative environment

Why Work With Us

Altair is a global technology company providing software and cloud solutions in the areas of product development, high-performance computing (HPC) and artificial intelligence (AI). Altair enables organizations in nearly every industry to compete more effectively in a connected world, while creating a more sustainable future. With more than 3,000 engineers, scientists, and creative thinkers in 25 countries, we help solve our customer’s toughest challenges and deliver unparalleled service, helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities.

Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing and artificial intelligence (AI).

For more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop AI, simulation, and data-driven digital twins to drive better decisions, and deliver advanced HPC and cloud solutions to support unlimited idea exploration. To learn more, please visit altair.com .

Ready to go? #ONLYFORWARD

At our core we are explorers; adventurers; pioneers. We are the brains behind some of the world’s most revolutionary innovations and are not only comfortable in new and uncharted waters, we dive in headfirst. We are the original trailblazers that make the impossible possible, discovering new solutions to our customer’s toughest challenges.

Altair is an equal opportunity employer. Our backgrounds are diverse, and every member of our global team is critical to our success. Altair's history demonstrates a belief that empowering each individual authentic voice reinforces a culture that thrives because of the uniqueness among our team."
9,Software Development,Marketing Design Intern,Itential,https://media.licdn.com/dms/image/C4D0BAQFHwk9TZP57jg/company-logo_100_100/0/1607626325939/itential_logo?e=2147483647&v=beta&t=RsjZiEhS7libHUuj-ZSPRiMJKje6a8oXx3dZPF2eN3k,"Description

Company Overview:

Itential is on a mission to transform how network infrastructure is managed through simplifying and accelerating the adoption of automation. Our powerful network automation software fuels some of the largest organizations in the world and we are committed to continuously delivering world-class products that accelerate the move toward software-driven networks and next generation, agile network operations. We offer a flexible hybrid-first work environment to foster collaboration, support employee engagement, and ensure employee flexibility.

The Itential Marketing Team is the central nucleus for our entire company and plays a key role in generating demand and driving revenue. We are a close-knit team that has created something truly special in the network automation market.

Job Summary:

We are hiring a part time design intern to join our incredible Marketing Team to provide support and assistance across our highly collaborative team. During your spring internship, you will be exposed to all areas of marketing design ranging from social media, digital content and advertising, event visuals, and more to explore the different avenues and begin to build your areas of interests and the foundational skillsets to support them.

About you:
You are interested in pursuing a design career in the technology marketing industry with a very curious mindset.
You can manage multiple concurrent projects with fast-moving schedules and multiple stakeholders.
You are highly self-motivated, accountable, proactive, and thoughtful with high attention to detail.

Responsibilities and Duties:
Attend marketing team meetings to begin to explore and understand our projects, campaigns, and design needs.
Assist in designing a diverse variety of marketing collateral, including presentations, social imagery, event imagery, website imagery, technical diagrams, and more.
Create graphics and diagrams that visually communicate technical concepts, solutions, and products.
Develop visual components for use in PowerPoint presentations, and support presentation development across the organization.
Regularly meet with marketing team members for direction, support, and feedback.

Supervisory Responsibilities:
None.

Qualifications and Skills:
An appetite for keeping track of details.
Thrives in a fast-paced environment and skilled at ensuring deadlines are met.
Natural collaborator who works well with others.
Experience in Adobe Creative Suite.
Experience in PowerPoint.
Experience in motion graphics and animation is plus.
Strong desire to learn and ask questions."
