industry,website,title,logo,description
Technology and Electronics,analog.com,Analog Devices,https://media.licdn.com/dms/image/C4E0BAQFIPofjzp1AXA/company-logo_100_100/0/1639584615569/analog_devices_logo?e=2147483647&v=beta&t=ksEueUWBZEk2NzjndUKvfjG7ACF8yjMidFKgF1S2hDA,"Analog Devices, Inc. (NASDAQ: ADI) is a global semiconductor leader that bridges the physical and digital worlds to enable breakthroughs at the Intelligent Edge. ADI combines analog, digital, and software technologies into solutions that help drive advancements in digitized factories, mobility, and digital healthcare, combat climate change, and reliably connect humans and the world. With revenue of more than $12 billion in FY22 and approximately 25,000 people globally working alongside 125,000 global customers, ADI ensures today’s innovators stay Ahead of What’s Possible."
Aerospace and Defense,ara.com,ARA,https://media.licdn.com/dms/image/C4D0BAQGJaMmMeoNeEg/company-logo_100_100/0/1532632016348/ara_logo?e=2147483647&v=beta&t=V9morKiZCMefaNs2bw5BZJSSh1mvgLUxj4gVstg9z5o,"Applied Research Associates, Inc. (aka ARA) is an employee-owned international research and engineering company. We have been providing technically superior solutions to complex and challenging problems in the physical sciences since 1979. ARA has over 2,013 employee-owners and continues to grow rapidly. Together, our offices throughout the U.S. and Canada provide a broad range of technical expertise in defense, civil, and health technologies, computer software and simulation, systems analysis, environmental technologies, and testing and measurement."
Aerospace and Defense,baesystems.com,"BAE Systems, Inc.",https://media.licdn.com/dms/image/D560BAQGs1CBbJ5vMPA/company-logo_100_100/0/1663676834127/baesystemsinc_logo?e=2147483647&v=beta&t=A-eANLAInSmmkryNWpAcu4YFQOKZM_riwcu8u69q7-8,"BAE Systems is the third largest defense contractor in the world with an exceptional, mission-focused culture. The 800+ BAE Systems employees and sub-contractors located at Hill Air Force Base, Utah are closely aligned to the United States Air Force Nuclear Weapons Center. We support the Center in sustaining the existing LGM-30 Minuteman III (MM III) weapon system. The MM III is a strategic nuclear weapon system dispersed in hardened silos to protect against attack, and connected to an underground launch control center through a system of hardened cables. Over 50 years of continuous modernization programs have resulted in new versions of the missile, expanded targeting options, and improved accuracy and survivability. These enhancements serve to keep the MM III viable as until the mid-2030s, when the system is scheduled to be replaced by the future GBSD ICBM now in development."
Aerospace and Defense,blueorigin.com,BLUE ORIGIN,https://media.licdn.com/dms/image/C510BAQG-nl05kZljeg/company-logo_100_100/0/1519856681683?e=2147483647&v=beta&t=p6jhJUfTHTdGuAQQN4Ee5n_ja-Vny2CEkolIFo_ITKs,"Blue Origin was founded with a vision of millions of people living and working in space for the benefit of Earth. Blue Origin envisions a time when people can tap into the limitless resources of space and enable the movement of damaging industries into space to preserve Earth, humanity’s blue origin. Blue Origin is working today to create that future by developing reusable launch vehicles and in-space systems that are safe, low cost, and serve the needs of all civil, commercial, and defense customers. Blue Origin’s efforts include flying astronauts to space on New Shepard, producing reusable liquid rocket engines, developing an orbital launch vehicle with New Glenn, building next-generation space habitats, and returning to the surface of the Moon."
Manufacturing,bldr.com,Builders FirstSource,https://media.licdn.com/dms/image/C4D0BAQFki0D5Ro4yKQ/company-logo_100_100/0/1633084118011/builders_firstsource_logo?e=2147483647&v=beta&t=PcEfwa9Gu9nVQaf0_DNiWXg3HBxiX3Ypna9hWiEZ1Lc,"Builders FirstSource is the nation’s largest supplier of structural building products, value-added components and services to the professional market for new residential construction and repair and remodeling. Our focus is on providing unparalleled service to both large and small customers. Through investments in innovation and an unmatched portfolio of value-added products and manufacturing capabilities, we’re revolutionizing the homebuilding industry – outperforming today and transforming tomorrow. "
Public Sector,mysanibel.com,CITY OF SANIBEL,https://media.licdn.com/dms/image/C560BAQHqR756mph1GA/company-logo_100_100/0/1615382544478/city_of_sanibel_logo?e=2147483647&v=beta&t=PaVEsJpt6vvP4xyKOvgrmnl1EhNtv0qdu2LvVYbVp38,"Serves under the supervision of the Deputy of Public Works, responsible for technical engineering work for Engineering and Public Works projects."
Aerospace and Defense,collinsaerospace.com,Collins Aerospace,https://media.licdn.com/dms/image/D560BAQGOO3rPemY70w/company-logo_100_100/0/1687169227119?e=2147483647&v=beta&t=8rSYNBBKVWqZsQlQE95NgNHUW_2A2pTsvvfsoJvUSUE,"Collins Aerospace is an RTX business. Our global team dreams, designs and delivers smarter, more connected solutions for passenger safety and comfort, mission success, space exploration, and operational efficiency and sustainability. "
Automotive,continental.com,Continental,https://media.licdn.com/dms/image/C560BAQFYrK_MuDgrbg/company-logo_100_100/0/1519855980055?e=2147483647&v=beta&t=uDnXOlBxbY-PPmpMb2GfDnxFS2H0kYZjsXpT7-D4hD0,"Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. Founded in 1871, the technology company offers safe, efficient, intelligent, and affordable solutions for vehicles, machines, traffic, and transportation. In 2022, Continental generated sales of €39.4 billion and currently employs around 200,000 people in 57 countries and markets."
Manufacturing,daktronics.com,Daktronics,https://media.licdn.com/dms/image/C4E0BAQFT_esfkuE74w/company-logo_100_100/0/1562856028696/daktronics_logo?e=2147483647&v=beta&t=eybcEgnuABQnl3yv-kH4M_mjNl58tGCec0sfosF76LM,"When you work at Daktronics, you’ll be part of something amazing. We design, engineer, manufacture and support bold, eye-catching digital LED and LCD video displays and audio systems.Our products bring excitement to professional, college and high school games. They attract customers for businesses around the world, and even provide direction for people as they travel, work and play."
Technology and Electronics,dell.com,Dell Technologies,,"Dell Technologies Inc. is an American multinational technology company headquartered in Round Rock, Texas. It was formed as a result of the September 2016 merger of Dell and EMC Corporation (which later became Dell EMC). Dell's products include personal computers, servers, televisions, computer software, computer security and network security, as well as information security services."
"Entertainment and Media, Technology and Electronics",dolby.com,Dolby Laboratories,https://media.licdn.com/dms/image/C560BAQGymqFAuFFG6g/company-logo_100_100/0/1574619291273?e=2147483647&v=beta&t=4FaqIxKsseHw_tiRwadgdRntz4oh7l8TXHJbgJvzca8,"Founded in 1965 and headquartered in San Francisco, Dolby has grown into a leading global innovator and developer of audio, imaging and voice technologies for cinema, home theaters, PCs, mobile phones, and games. Our products include Dolby Digital Plus, TrueHD, Dolby Voice, Dolby Atmos and Dolby Vision. Today, over 2,000 individuals around the globe share their talents and energy to enable the most immersive experiences that technology can deliver."
Aerospace and Defense,careers.dynetics.com,"Dynetics, Inc.",https://media.licdn.com/dms/image/C560BAQHjoMS1FU87Fg/company-logo_100_100/0/1584045405065/dynetics_inc__logo?e=2147483647&v=beta&t=ywFhZEJ4ygqNQwKE4wqMnaMxU_ecCVGwbx86D-aPEi4,"Dynetics, a wholly owned subsidiary of Leidos, provides responsive, cost-effective engineering, scientific, IT solutions to the national security, cybersecurity, space, and critical infrastructure sectors. Our portfolio features highly specialized technical services and a range of software and hardware products, including components, subsystems, and complex end-to-end systems."
Healthcare and Pharmaceuticals,elevancehealth.com,Elevance Health,https://media.licdn.com/dms/image/C560BAQHUCH2Q9_rJ2A/company-logo_100_100/0/1656408544351/elevance_health_logo?e=2147483647&v=beta&t=YG5G-QKjeHCHnX8OLc7OdZJGab0tdtiPqaPw42rVFCg,"Elevance Health is a health company dedicated to improving lives and communities - and making healthcare simpler. A Fortune 20 company with a longstanding history in the healthcare industry, we are looking for leaders at all levels of the organization who are passionate about making an impact on our members and the communities we serve."
Healthcare and Pharmaceuticals,gehealthcare.com,GE HealthCare,https://media.licdn.com/dms/image/D4E0BAQGsvnH_VaICpQ/company-logo_100_100/0/1695806357129/gehealthcare_logo?e=2147483647&v=beta&t=c-Gk-wube18eXiFAcl5qIvyLreBqO5TywDmIXPrJgYA,"At GE HealthCare, we see possibilities through innovation. We’re partnering with our customers to fulfill healthcare’s greatest potential through groundbreaking medical technology, intelligent devices, and care solutions. Better tools enabling better patient care. Together, we are not only building a healthier future but living our purpose to create a world where healthcare has no limits."
Aerospace and Defense,gdmissionsystems.com,General Dynamics Mission Systems,https://media.licdn.com/dms/image/D560BAQHmOhIFDHw7cw/company-logo_100_100/0/1666214489489/gdms_logo?e=2147483647&v=beta&t=cE4mK5uPTJjGnkvS4z8vq2U02RtO1OOLt5pRHE96-is,"At General Dynamics Mission Systems, a business unit of General Dynamics, we develop mission critical C4ISR solutions across the land, sea, air, space and cyber domains, but that doesn’t tell our whole story. When downed pilots are isolated in enemy territory, our equipment gives them a lifeline to call home. When a student opens a textbook to learn about the universe, they’re looking at data and pictures sent using our technology. When the government needs to share crucial top-secret information, our products help them keep this information out of the wrong hands. When sailors need to locate underwater mines, our technology allows them to find explosives with unmanned underwater vehicles."
"Automotive, Energy and Utilities",gm.com,General Motors,https://media.licdn.com/dms/image/C4D0BAQGi5bqIMQIO6g/company-logo_100_100/0/1644857988375/general_motors_logo?e=2147483647&v=beta&t=8XX1PlCnGBCGwyJgb5NHne20eTwNbfG7zrQcDsvcU0k,"General Motors’ vision is to create a world with Zero Crashes, Zero Emissions and Zero Congestion, and we have committed ourselves to leading the way toward this future. Today, we are in the midst of a transportation revolution, and we have the ambition, the talent and the technology to realize the safer, better and more sustainable world we want."
Technology and Electronics,hp.com,HP,https://media.licdn.com/dms/image/D560BAQEZ6ZVjZmwiwA/company-logo_100_100/0/1692312131153?e=2147483647&v=beta&t=Xtr66KA3yDcEqY2IA6yE-kiFpyBLd_kN7qHR_Ba88BE,"Innovation is in HP’s DNA. From our origins in a Palo Alto garage in 1939, to our current position as one of the world’s leading technology companies, HP has grown to become a leader in technology and corporate culture, inspiring innovators and entrepreneurs around the globe. HP brings together a portfolio that spans printing, personal computing, software and services to serve more than 1 billion customers in over 170 countries. We dream in over 35 languages and share one mission: to engineer experiences that amaze."
Aerospace and Defense,jrcisi.com,JRC Integrated Systems,https://media.licdn.com/dms/image/C4E0BAQEP1nA_ZasSRg/company-logo_100_100/0/1646248178252/jrc_integrated_systems_logo?e=2147483647&v=beta&t=pstOQg2X24RO6DPVgkzIoRAIhquJDHQnPUdnDyeACAU,"JRC is an award-winning workplace, acknowledged as one of Greater Washington’s Best Places to Work and recognized as a Top Workplace by The Washington Post. Headquartered in Washington, DC with international programs and operations in over 15 states, our expertise in areas such as systems engineering, digital integration, and program management, have supported some of the nation’s most important defense programs. As a small business innovator, we are leading the way in areas of robotics automation technology and cyber security for its customers."
