,title,company,logo,industry,raw_description
0,VIP Intern - NYC,CELINE,https://media.licdn.com/dms/image/C560BAQEgRng4bPe2AQ/company-logo_100_100/0/1535920844510?e=2147483647&v=beta&t=XsniCBo7StlXD7DCNTQM-fm5mrgn9lvCOZQQWkvxWH8,Retail Luxury Goods and Jewelry,"Position

At CELINE the products are central to everything and speak for themselves. Ready-to-wear leather goods, accessories and shoes: each item is crafted to be beautiful and practical, without artifice, in tune with the everyday lives of the women for whom it is designed. CELINE’s focus is on “less but excellent”.















Key function: The VIP Freelancer is responsible for supporting the VIP Team in daily responsibilities. They will be accountable for leading sample trafficking with the Paris HQ office and VIP stylists, and LA office. Including scheduling and tracking domestic and international logistics, managing the organization and presentation of the showroom and sample closet, monitoring VIP dressing images, performing talent and competitive research, and compiling weekly press reports.

:

Sample Requests and Trafficking:



Shipping & Logistics:



Profile

Showroom & Sample Closet:



VIP Image and Press Monitoring:



Strategy and Research:



VIP Gifting:



Additional information







Education/Experience:



Special Skills:





CELINE is an equal opportunity employer. We want to offer an inclusive environment of mutual respect where we welcome diversity and all our employees feel included, developed, and heard.

We are committed to the prevention of all discrimination, providing equal opportunities to all applicants irrespective of gender, gender expression, disability, origin, background, religious beliefs or sexual orientation or any other basis protected by law."
1,THE LATE SHOW WITH STEPHEN COLBERT - SPRING 2024 INTERNSHIP PROGRAM,Paramount,https://media.licdn.com/dms/image/D4E0BAQHYHncXxrgoNw/company-logo_100_100/0/1688181788228/paramountco_logo?e=2147483647&v=beta&t=ksEwpz39UZS36bHTelStmhLnYVEAFKM6MKsEvUW0xb4,Entertainment Providers,"“The Late Show with Stephen Colbert” is seeking the next batch of interns for its Spring 2024 Internship program!

Our paid program provides college juniors, seniors, and recent graduates the opportunity to understand the production process of an hour-long late night variety show.



Interns will assist in general production, script, control room operations, music, research, talent, and various other departments within our production. Regardless of department, interns will perform production runs on an as-needed basis.

Interns will gain knowledge and understanding of creating a daily television comedy show in a high-paced environment alongside industry professionals.



Interns should have passion and experience within the entertainment industry.

We are looking for people who have the ability to thrive in a fast-paced environment, act independently, take initiative, and help the show from the ground up.




CBS Studios is one of the industry’s leading suppliers of programming with more than 70 series currently in production across broadcast and cable networks, streaming services and other emerging platforms.

The Studio’s expansive portfolio spans a diverse slate of commercially successful and critically acclaimed scripted programming, genre-defining franchises including the ever-growing “Star Trek” universe, award-winning late night and daytime talk shows, and an extensive library of iconic intellectual property.

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to paramountaccommodations@paramount.com. Only messages left for this purpose will be returned."
2,CNN Weather Intern: ATL- Spring 2024,CNN,https://media.licdn.com/dms/image/C4D0BAQEHgYOkitwp1w/company-logo_100_100/0/1519856415196?e=2147483647&v=beta&t=HZWGjen9EYCU7-HfbYz0jg2pXrZHxsl1v83MDkLITXs,Broadcast Media Production and Distribution,"Every great story has a new beginning, and yours starts here.

Welcome to Warner Bros. Discovery… the stuff dreams are made of.

Who We Are…

When we say, “the stuff dreams are made of,” we’re not just referring to the world of wizards, dragons and superheroes, or even to the wonders of Planet Earth. Behind WBD’s vast portfolio of iconic content and beloved brands, are the bringing our characters to life, the bringing them to your living rooms and the creating what’s next…

From brilliant creatives, to technology trailblazers, across the globe, WBD offers career defining opportunities, thoughtfully curated benefits, and the tools to explore and grow into your best selves. Here you are supported, here you are celebrated, here you can thrive.

We are the now and the next. The power behind the people building the future. We are born from the spirit of innovation. We are created from the idea that people around the world want more, need more, deserve more. We are the home of the global digital revolution. We are CNN.

See what it’s like to work at CNN! Follow us on Instagram, Twitter and Facebook.


Monday, October 23rd


CNN Weather department serves the weather and science needs for all the CNN platforms. The department provides on-air, and digital weather and science coverage for CNN, CNNI, CNN.com as well as affiliated networks.


Students would work with both domestic and international weather, as well as our digital platforms, and will have the opportunity to:





WBD's Internship Program is designed to nurture students professionally and personally. We attract the country’s boldest and brightest students for paid, for-credit, real-world internship experiences in the entertainment, tech, sports, news and media industries. We offer career-defining opportunities to learn valuable skills that will help you prepare for a successful future.






The duration of the program is 11 weeks


Start Date: January 29th

End Date: April 19th

Interns will be expected to work 16-24 hours per week in a .

Our internships are paid opportunities with a competitive hourly wage. Credit is not required; however, we will provide the necessary documentation for school credit if desired. Relocation is not provided.

Interviewing will take place from October through mid-December. A WBD team member will contact you if your experiences and interests match an open internship position. Due to the high volume of applications, we are unable to give individual status updates.


This last bit is probably the most important! Here at WBD, our guiding principles are the core values by which we operate and are central to how we get things done. You can find them at www.wbd.com/guiding-principles/ along with some insights from the team on what they mean and how they show up in their day to day. We hope they resonate with you and look forward to discussing them during your interview.


Warner Bros. Discovery embraces the opportunity to build a workforce that reflects the diversity of our society and the world around us. Being an equal opportunity employer means that we take seriously our responsibility to consider qualified candidates on the basis of merit, without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.

If you’re a qualified candidate with a disability and you need a reasonable accommodation in order to apply for this position, please contact us at recruitadmin@wbd.com."
3,2024 L’Oréal USA Marketing Summer Internship - Undergraduate,L'Oréal,https://media.licdn.com/dms/image/D4E0BAQFEB_g-FWxSrQ/company-logo_100_100/0/1688397791729/loral_logo?e=2147483647&v=beta&t=lKQEwqBYoDqGWO_jflECj8qNnBmSoX0rVi4civT_d18,Personal Care Product Manufacturing and Manufacturing,"At L'Oréal, whether you are an intern, manager, or senior leader, the most valuable asset we have is you. Your unique sense of curiosity, creative mindset, and desire to innovate are what we expect you to bring with you every day.

The L’Oréal USA Summer Internship Program is a paid, 11-week experience where you will be fully integrated into the day-to-day activities of a team while also to discover what it is truly like to develop a career at the #1 Beauty Tech company in the world. We are committed to giving our interns the space to explore, to have full time employee responsibilities, present their own insights to senior management, and to become future leaders. At the end of the summer, you will present your project to senior leadership for the

Applications are reviewed on a rolling basis, so it is highly encouraged to apply soon. We encourage students of diverse backgrounds to apply, including, but not limited to race, ethnicity, gender expression, LGBTQ+, military status, and people with disabilities.







Being a member of the L’Oréal USA Summer Internship Program, you will feel empowered to contribute in tangible, meaningful ways from day one because in an organization founded on entrepreneurism and agility, your ideas are not only heard and valued, but they are often put into implementation, too. As the #1 Beauty Tech company in the world with over 36 international brands – CeraVe, Kiehl’s, Maybelline, and Urban Decay to name just a few – we embrace , , , and in the workplace to lay the groundwork for you to be able to accomplish great things. You can explore our internship program and hear directly from our past interns at lorealoncampus.com.

Freedom to go beyond, that’s the beauty of L’Oréal - Are you ready?


Innovation has fueled L'Oréal’s business for more than 100 years and we will rely on our culture of innovation and entrepreneurship to help us continually evolve. L'Oréal’s dynamic culture provides its employees with entrepreneurial freedom and opportunities to drive transformation across its €29.87B business, encompassing over 35 brands, around the globe. In the US, we have 12,000 employees working collaboratively across 14 states to build leading edge technologies, launch highly personalized products, reimagine consumer experiences, and develop creative solutions to reduce our environmental footprint.

We are an Equal Opportunity Employer and take pride in a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, sexual orientation, national origin, age, marital or veteran status, medical condition or disability, or any other legally protected status.

If you require a reasonable accommodation to complete an application for a recognized disability under applicable law, please email USApplicationAccommodation@support.lorealusa.com. Please note this email will only respond to specific requests for assistance completing the application as a request for accommodation for a disability. All others will not be considered.


LI_USA_CORP"
4,Consulting Internship,Aspirant,https://media.licdn.com/dms/image/C4E0BAQHvD8hAaEx9RA/company-logo_100_100/0/1609874690927?e=2147483647&v=beta&t=JrXleYKjw2I8wyaC5QwBjJsdNNr62zTlEnUzwndkF6Q,Business Consulting and Services,"ABOUT US
 Aspirant is a global management and technology consulting firm built on a better approach. We are differentiated by our commitment to client success, integrated expertise, lean and experienced teams, tech-driven efficiency, and a focus on values. In support of our local community, we remain committed to raising awareness of, and helping prevent domestic abuse through our Connection of Hope campaign. For more on life at Aspirant, visit"
5,Fall 2023 - Creative Development Internship,Sesame Workshop,https://media.licdn.com/dms/image/C4E0BAQFKlbQaxCfseQ/company-logo_100_100/0/1544035637506?e=2147483647&v=beta&t=9Tihrm0UQERYPZut6ANaploLJD2QZ6RW60AmF1eRrnc,Media Production,"Sesame Workshop is looking for a Creative Development Intern for Fall 2023.  We are looking for a proactive, driven, problem-solving intern that is interested in learning about the development process.

Qualifications

Transcript verification is requested during the onboarding process.







The Creative Development team is responsible for developing impactful, mission-driven content that helps kids grow smarter, stronger and kinder. From specials like  to animated and live-action series such as , and , we create high-quality content for preschoolers, 4-7 year-olds, and elementary-aged kids.



Compensation: From $18.00 to $22.00 per hour"
6,Deutsche Bank Internship Program - Investment Bank: Fixed Income & Currencies - New York - 2024,Deutsche Bank,https://media.licdn.com/dms/image/C4E0BAQFOCEBGAmZoyg/company-logo_100_100/0/1656666179096?e=2147483647&v=beta&t=GKfqfuw468edg6GPeLiPBGd4urRPgjZFKImTWQ5TvgA,Financial Services,"At Deutsche Bank, we’re changing what it means to be a bank. In our internship program, you’ll learn and develop your skills every day, and you’ll also have a clear and supportive path ahead of you. You’ll gain the confidence to take on real projects, build your network and learn from senior leaders across our business. You’ll also see how important diversity and inclusion are to our success and to driving innovation. We’re looking for creative thinkers who are ready to transform an industry. If you’re looking for a head start in your finance career, this is your chance to learn first-hand how and what we deliver for an exciting range of clients worldwide.


:

Discover the world of financial markets and begin your career inour (FIC) division.

We pride ourselves on being the risk manager of choice for our clients, helping them to achieve their goals and maximize results. We bring together a long-established sales force with outstanding trading, financing, and structuring expertise.

You’ll be part of a team that provides innovative solutions to clients across Foreign Exchange, Rates, Emerging Markets and Credit. With a constantly evolving client offering our experience helps us to respond to market trends, deliver to our clients and make a difference in the world.


During the internship program, you’re equipped with upfront training and support to help you prepare for the job. With professional skills and technical financial training, you’ll hit the ground running from day 1, with continued learning and development opportunities throughout your first year and beyond. You’ll meet and learn from our Senior Leaders, expand your network, and develop the foundations of your career at DB.

Your experience in FIC might include pitching trades to the team, participating in client calls or exploring new financing opportunities. Whether you’re in the hustle and bustle of the trading floor, delving into company financials, or writing research analysis, the possibilities are endless so join our rotational program and discover what’s right for you.


We’re looking for intellectually curious, enthusiastic individuals with a desire to problem solve. Strong communication skills and an ambitious mindset are crucial in helping you succeed in this fast paced, energetic environment. Above all we’re looking for people with a passion for the financial markets and being part of a team.

Having strong attention to detail and being comfortable with numbers will help you get to grips with what we do, and our extensive training programs will give you the technical knowledge you need to build a career with us.

Please note that to apply for our 2024 Internship Program you must graduate December 2024 – May 2025

Please visit www.db.com/careers to apply.

Deutsche Bank is an Equal Opportunity Employer - Veterans/Disabled and other protected categories. Click these links to view the "" EEO is the Law "" poster and "" pay transparency statement. ""

The annualized salary for this position is $100,000. Posted salary ranges do not include incentive compensation or any other type of renumeration."
7,"Seasonal Intern, Bridgeport Islanders",New York Islanders,https://media.licdn.com/dms/image/D4E0BAQEU6OQfX1fKWA/company-logo_100_100/0/1687826005350/new_york_islanders_logo?e=2147483647&v=beta&t=LYHhScVdQ-MPeW8-vfnHFvtJb5swjO2hX2-B3uGR_sw,Spectator Sports,"Our Game Plan

The Bridgeport Islanders are looking for a team of dedicated Seasonal Interns for the 2023-24 season. As the AHL affiliate of the New York Islanders, we pride ourselves on providing top-tier entertainment and engaging content to our fanbase that stretches from Fairfield County all the way across the Long Island Sound.

We are hiring in the following departments: Community Relations, Digital Marketing, and Creative Services. If you are passionate about the game of hockey and growing your career in the sports & entertainment industry, then we want to get to know you.


Members of our internship program are key teammates of the Islanders and help us work on all gameday entertainment and fan experience initiatives as we put on an exciting show for fans. They are dedicated to helping our team throughout the season and are ideally available for all regular season home games through their internship term.

These roles require a ‘can do’ attitude and will reside within the Islanders Marketing team and will report directly to the department leads in accordance with their position.








During the season, you will primarily report to the arena for both office hours and home games. You will also be requested to attend off-site events in the community during nights, weekends, and holidays, as needed.




The Bridgeport Islanders are an equal opportunity employer and value diversity at our organization. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
8,Software Engineer Internship (Summer '24),"Pomelo, Inc.",https://media.licdn.com/dms/image/C4D0BAQHV2J5ameVH2g/company-logo_100_100/0/1632943282615/pomelo_inc_logo?e=2147483647&v=beta&t=sVFFJQcc-GG84Mp1kbzpbBLZcskMv2dFCW-wDFYCcg4,Financial Services,"Pomelo is on a mission to improve the lives of immigrants and their loved ones abroad by extending the U.S. credit system internationally. We are proud to be the first fintech company to combine international money transfer and credit, making money transfers refreshingly free, fast, and secure.

As an early-stage start-up, we are building a product that rethinks what money transfer can do for people, existing at the intersection of family, personal finance, consumer credit, and global remittances.

We’re a team of ~30 and are growing our San Francisco headquarters. Our investors include Keith Rabois of Founders Fund (CEO at Opendoor, former COO of Square), Kevin Hartz (Co-founder/CEO of Xoom), The Chainsmokers, The Weeknd, and more.


Pomelo is hiring several competitive 10 and 12-week interns to join our team for the Summer of 2024. During this internship, you'll get hands-on experience working alongside a top-caliber Engineering team in a high-growth startup out of our San Francisco headquarters. Pomelo is committed to hiring the best and brightest. We're looking for incredible talent excited to be part of our early story as we build a global financial platform opening the doors to a new global consumer-base that's revolutionizing access to credit and the U.S. financial system. Our ideal candidates are future founders and leaders in technology that hold a strong sense of ownership and enjoy owning projects from inception to scaling it in production. As an early employee, you'll be working with a nimble team of committed and talented engineers and having a large, long-term impact on technical design and engineering culture.


Our tech stack today is primarily:


We’re open to engineers who specialize in backend, frontend, or full-stack. Regardless of specialization, you’ll be given major problems to solve, and significant ownership in solving them. Examples of problems you might get to work on include:


↪ Recent examples here include shipping a web version of our signup flow (originally mobile-only), iterating on our credit underwriting model (to expand access to our product), and building out a significant promotional exchange rates feature (making us significantly better than the market).


↪ Recent examples here include integrating with a courier service in the Philippines for fast and reliable card delivery overseas, and implementing an international security standard (3DSecure) for immediate “virtual card” support (our first magic moment).


↪ Recent examples here include a whole internal admin app for customer support and operations (we use Retool for this today), analytics & experimentation infra to let us test, measure, and learn (we use Segment, Mixpanel, and LaunchDarkly today), and continuous deployment infra for our website (automatically shipping to production on every merge to main, with preview deployments on every PR).

We work in cross-functional “squads” and collaborate both within and outside of eng. We operate in sprints and try to ship and demo meaningful every week. And besides daily standups and weekly all-hands, we try to leave most time unscheduled, so the focus can be on the and the problems above."
9,Change & Innovation Intern,Lockheed Martin,https://media.licdn.com/dms/image/C4E0BAQHF1YKEZdN4LA/company-logo_100_100/0/1668532984993?e=2147483647&v=beta&t=4IVKIQnEAL0_mTzHfBrAZcktpYtX7jjdOXNofZHaa68,Defense and Space Manufacturing,"Description:By bringing together people that use their passion for purposeful innovation, at Lockheed Martin we keep people safe and solve the world's most complex challenges. Our people are some of the greatest minds in the industry and truly make Lockheed Martin a great place to work.

With our employees as our priority, we provide diverse career opportunities designed to propel development and boost agility. Our flexible schedules, competitive pay, and comprehensive benefits enable our employees to live a healthy, fulfilling life at and outside of work.

At Lockheed Martin, we place an emphasis on empowering our employees by fostering innovation, integrity, and exemplifying the epitome of corporate responsibility.

Your Mission is Ours.

At the dawn of a new space age, Lockheed Martin is a pioneer, partner, innovator and builder. Our talented workforce are on a mission to make an impact in the world. Every day we use our unique skills and experiences to create, design and build collaborative solutions. Our culture inspires employees to dream big, perform with excellence and making meaningful connections with each other, our clients and customers.

Human Resources Interns at Lockheed Martin will be placed in a teaming environment where they will work on meaningful projects that align with the company's HR strategy. The Talent and Organizational Capability (T&OC) HR Intern will obtain hands on experience through a variety projects in Change Agility, Performance, Talent, Organizational Capability and Culture. Assignments are based on emerging business needs coupled with the candidate's education, experience, and career interests.

We encourage you to explore the possibilities with LM Space through a fun and exciting internship experience!









Good organization skills and able to handle multiple priorities

None



By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.

Part-time Remote Telework: The employee selected for this position will work part of their work schedule remotely and part of their work schedule at a designated Lockheed Martin facility. The specific weekly schedule will be discussed during the hiring process.

Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.

Part-Time as assigned by leader



The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $46,280 - $53,248. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.

Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.

(Washington state applicants only) Non-represented full time employees: accrue 10 hours per month of Paid Time Off (PTO); receive 40 hours of Granted PTO annually for incidental absences; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of PTO per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO is prorated based on hours worked and start date during the calendar year.



The annual base salary range for this position in most major metropolitan areas in California and New York is $48,568 - $53,248. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate’s work experience, education/ training, key skills as well as market and business considerations when extending an offer.

Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.



The annual base salary range for this position in California and New York (excluding most major metropolitan areas), Colorado, or Washington is $46,280 - $53,248. Please note that the salary information is a general guideline only. Lockheed Martin considers factors such as (but not limited to) scope and responsibilities of the position, candidate's work experience, education/ training, key skills as well as market and business considerations when extending an offer.

Medical, Dental, Vision, Life Insurance, Short-Term Disability, Long-Term Disability, 401(k) match, Flexible Spending Accounts, EAP, Education Assistance, Parental Leave, Paid time off, and Holidays.

(Washington state applicants only) Non-represented full time employees: accrue 10 hours per month of Paid Time Off (PTO); receive 40 hours of Granted PTO annually for incidental absences; receive at least 90 hours for holidays. Represented full time employees accrue 6.67 hours of PTO per month; accrue up to 52 hours of sick leave annually; receive at least 96 hours for holidays. PTO is prorated based on hours worked and start date during the calendar year.



Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They’re dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin’s vast team works with partners around the world to bring proven performance to our customers’ toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.

Co-op/Summer Intern

SPACE

Housing Stipend

Human Resources

Call-In

First"
